HOJA,NUMERO_BD,PREDIO_EXCEL
ESTAC,EST-004,ESTA-004
ESTAC,EST-005,ESTA-005
ESTAC,EST-006,ESTA-006
ESTAC,EST-007,ESTA-007
ESTAC,EST-009,ESTA-009
ESTAC,EST-012,ESTA-012
ESTAC,EST-013,ESTA-013
ESTAC,EST-014,ESTA-014
ESTAC,EST-015,ESTA-015
ESTAC,EST-016,ESTA-016
ESTAC,EST-017,ESTA-017
ESTAC,EST-018,ESTA-018
ESTAC,EST-020,ESTA-020
ESTAC,EST-021,ESTA-021
ESTAC,EST-023,ESTA-023
ESTAC,EST-024,ESTA-024
ESTAC,EST-025,ESTA-025
ESTAC,EST-026,ESTA-026
ESTAC,EST-027,ESTA-027
ESTAC,EST-028,ESTA-028
ESTAC,EST-029,ESTA-029
ESTAC,EST-030,ESTA-030
ESTAC,EST-031,ESTA-031
ESTAC,EST-032,ESTA-032
ESTAC,EST-033,ESTA-033
ESTAC,EST-034,ESTA-034
ESTAC,EST-035,ESTA-035
ESTAC,EST-036,ESTA-036
ESTAC,EST-037,ESTA-037
ESTAC,EST-038,ESTA-038
ESTAC,EST-039,ESTA-039
ESTAC,EST-040,ESTA-040
ESTAC,EST-041,ESTA-041
ESTAC,EST-042,ESTA-042
ESTAC,EST-043,ESTA-043
ESTAC,EST-044,ESTA-044
ESTAC,EST-045,ESTA-045
ESTAC,EST-047,ESTA-047
ESTAC,EST-048,ESTA-048
ESTAC,EST-049,ESTA-049
ESTAC,EST-050,ESTA-050
ESTAC,EST-051,ESTA-051
ESTAC,EST-052,ESTA-052
ESTAC,EST-053,ESTA-053
ESTAC,EST-055,ESTA-055
ESTAC,EST-056,ESTA-056
ESTAC,EST-057,ESTA-057
ESTAC,EST-058,ESTA-058
ESTAC,EST-059,ESTA-059
ESTAC,EST-060,ESTA-060
ESTAC,EST-061,ESTA-061
ESTAC,EST-063,ESTA-063
ESTAC,EST-065,ESTA-065
ESTAC,EST-066,ESTA-066
ESTAC,EST-067,ESTA-067
ESTAC,EST-068,ESTA-068
ESTAC,EST-069,ESTA-069
ESTAC,EST-070,ESTA-070
ESTAC,EST-071,ESTA-071
ESTAC,EST-072,ESTA-072
ESTAC,EST-073,ESTA-073
ESTAC,EST-075,ESTA-075
ESTAC,EST-076,ESTA-076
ESTAC,EST-077,ESTA-077
ESTAC,EST-078,ESTA-078
ESTAC,EST-079,ESTA-079
ESTAC,EST-080,ESTA-080
ESTAC,EST-081,ESTA-081
ESTAC,EST-082,ESTA-082
ESTAC,EST-083,ESTA-083
ESTAC,EST-084,ESTA-084
ESTAC,EST-085,ESTA-085
ESTAC,EST-086,ESTA-086
ESTAC,EST-088,ESTA-088
ESTAC,EST-089,ESTA-089
ESTAC,EST-090,ESTA-090
ESTAC,EST-091,ESTA-091
ESTAC,EST-092,ESTA-092
ESTAC,EST-093,ESTA-093
ESTAC,EST-094,ESTA-094
ESTAC,EST-095,ESTA-095
ESTAC,EST-096,ESTA-096
ESTAC,EST-098,ESTA-098
ESTAC,EST-099,ESTA-099
ESTAC,EST-126,ESTA-126
ESTAC,EST-132,ESTA-132
DEP,DPO-159,DEPO-159
DEP,DPO-161,DEPO-161
DEP,DPO-162,DEPO-162
DEP,DPO-164,DEPO-164
DEP,DPO-166,DEPO-166
DEP,DPO-167,DEPO-167
DEP,DPO-168,DEPO-168
DEP,DPO-169,DEPO-169
DEP,DPO-170,DEPO-170
DEP,DPO-171,DEPO-171
DEP,DPO-172,DEPO-172
DEP,DPO-173,DEPO-173
DEP,DPO-174,DEPO-174
DEP,DPO-176,DEPO-176
DEP,DPO-177,DEPO-177
DEP,DPO-178,DEPO-178
DEP,DPO-179,DEPO-179
DEP,DPO-180,DEPO-180
DEP,DPO-181,DEPO-181
DEP,DPO-182,DEPO-182
DEP,DPO-183,DEPO-183
DEP,DPO-185,DEPO-185
DEP,DPO-186,DEPO-186
